,영화'맘마미아1' 감상평
1850,진짜 최고의 영화
1851,되게재밌어요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1852,"진짜거짓말안하고강츄!!!보는재미, 듣는재미로 2배를 더한 영화~!!!!!!!!"
1853,허억...미친듯이 죠낸 재미있음 꼭 보센
1854,완전 개 쩔어줌
1855,환장합니다 너무재밌음
1856,와 이렇게 사운드오브뮤직 이후로 대단한 영화는첨 정말 최고란 말밖에..
1857,메릴스트립 멋있어~
1858,좋았다..ㅋㅋ 처음부터 끝까지 좋은노래와 재미있는 스토리까지...
1859,최고의 영화였어요...
1860,ost가 마음에드네요. 뮤지컬도 봐야겠어요.
1861,가족영화로 정말 대박 강추 드립니다.
1862,맨마지막에 쫌 허무하긴 했지만 노래도 좋고 유머있어요~또 한번 보고 싶은 영화.ㅎㅎ
1863,정말 잼나여 또보고싶당.ㅋ
1864,ㅎㅎ.. 넘 노래가 조아염~
1865,볼만한데 여자영화인듯 노래가넘많아
1866,난 스토리를 떠나서 노래도 그렇고 흥미롭게 봤엄ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1867,엄마 아빠 할머니 언니랑 같이 봤는데 다들 재밌게 보셨당
1868,뮤지컬영화노래시끄럽고난잡집중안되고다떠나서스토리진짜유치뽕짝보는내내후회막심
1869,19살의 남성에겐 그다지 재미가 없는 영화
1870,대만족
1871,정말이지 다시봐도 재밌는 영화.  돌아오자마다 아바를 검색하게 했다.
1872,다시보고 싶은 영화!!!
1873,감동과재미모두를갖고있는최고의 영화-
1874,사운드오브뮤직 이후로 진정한 뮤지컬 영화를 만났다.
1875,개인적으로 너무 재미있게 봤어요
1876,정말재미있음
1877,"정말 재밌습니다,"
1878,정말 좋아요.. ^^
1879,이런 영화 제일 재밌구 저의 최고의 영화네여 >_<
1880,영화  보는내내 너무 좋았어요
1881,재미있어요^^ 하지만... 중요한건...ㅎㅎ 뮤지컬이 더욱더 재미있다는거^^
1882,무얼 더 바라죠?? 이렇게 신나고 기분 좋게 만들어주는데...^^ 10점
1883,정말 너무 좋은 영화
1884,넘넘 조아요~~
1885,이 영화는 노래때문에 흥행했죠 ^^
1886,롱런이 말해준다. 나의 감수성을 왕창 자극한 영화. 재미없단 놈은 냉혈인간인가..
1887,이게영화인가 뮤지컬이 자장가로들려서 계속잤내
1888,정말 네이버 평점 난 왜이리 낚이는거지 ㅜㅜ...실컷 졸기만하구..
1889,사운드오브뮤직이래 최고의 명작^^  감동/눈물/사랑/행복/추억 가슴이 벅찬...영화^^
1890,멋진 스토리.멋진 배우.멋진 음악.그러나 어딘가 아쉽고 어설퍼서 안타깝다.
1891,영화관에서3번봤다는...ㅎㄷㄷ^^
1892,감동적입니다
1893,줄거리 음악 모두 만점!!!!!!! 정말 주옥같아요
1894,개인적으로 난 너무재미없었음;
1895,음악의세계로풍덩빠질수있었던~~^^
1896,노래는 좋은데 스토리가 별로네요
1897,노래는 짱이었어요! 근데 스토리는 그닥...
1898,3번봤어요. 볼때마다 재미있네요.
1899,말이 필요없는 최고의 영화!
1900,전 별로 였어요. 노래 연기 괘안았지만 스토리는 별로.
1901,뮤지컬보러가실분.......진심최고
1902,너무 감동적이었어요  극장에서 3일연속으로세번봣습니다. 근데 또보고싶어요
1903,노래며 연기며 전부 최고입니다. 한번 더 보고싶어요!
1904,좀 스토리가 재밌지 않았다. 아빠 하고 결혼식 가지고 너무 난리만 치는 영화인듯
1905,대형 뮤지컬을 이 가격에 봤다는데!
1906,즐겁고 감동적인 영화
1907,최고최고ㅠ
1908,가사가 이렇구나 ㅜㅜ
1909,중간에 살짝 지루.그래두재밌음! 유쾌하고 완전 신났음! 끝나고도 한참동안음악생각남
1910,혼자보러갔었는데요 보는내도록 귀와눈이 즐거운영화`?
1911,귀에착감기는노래상큼발랄한내용이영화보고있음뮤지컬같은삶을살고픈열망에빠져든다~
1912,유쾌해 !
1913,"아, 아쉬워라... 아쉬워라... 근대 즐겁네!!"
1914,스토리 이해가 가지않는 부분이 너무 많았따
1915,노래빼고 칭찬할구석이 하나도 없었다.
1916,"영화구성3점, 연기력7점, 재미성, 2점  시카고보다 더 잼없음 최악이였음"
1917,음악도 좋고 춤도 좋고 연기도 좋고 너무 다 좋아요^^
1918,완전 재밌어요 ^-^
1919,정말잼있었어요~~
1920,"너무 좋아요~ㅋㅋ 계속 머리속에서 남는 영화~노래도 다 너무 좋고, 연기도 잘하고,,"
1921,정말정말 후회안할영화엿서요!@ >@
1922,정말이지.....아바노래아니였음.....확!!! 노래만 좋아요~ㅋ
1923,이런 OO은 영화는 첨봐.. 가족관계가 이게 뭐야 그리고 재미도 없고 노래만 쳐불러
1924,계속 생각나는 영화.. 유쾌하고 잔잔한 감동도 있고 음악도 좋고 강추!!
1925,지금보고왔는데 넘잼써 글구요ㅎㅎㅎ
1926,노래만 불러요ㅡ.
1927,뮤지컬이야? 영화야? 뮤비야? 뭐야 대체? 정체성없는 영화!
1928,초반에는 재밌었는데 갈수록 지루 말도안되는 내용에 유치한 스토리
1929,댄싱퀸 부르는 장면만으로도 만점 ! 내가슴이 왜그렇게 뛰던지....닷닷닷!!!
1930,보고나면 맘이 훈훈해 지는 영화 ost들으며 영화의 감동에 다시 빠져봐야 하는 재미
1931,맘마미아 진짜 재밌어여!!!!!!!!!!
1932,재미있었다^^
1933,흥겨운 노래~ 예쁜 주인공~!!
1934,제 또래대가 재미없다고 했더니 무척재미있네요 ~ 십점만점에 백점 !
1935,재미도 짱!!! 노래도 짱!!!!
1936,재미있구 노래도 짱이었어요~!! 그런데 선정적인 언어가..; 여친이랑 보기 껄끄러움;
1937,돈이 아깝다 6500원 돌리도~~!!
1938,재밌게 본 영화^^
1939,미국음악과 가사를 잘알고 있던 사람은 잼 없음. 콩글리쉬 하는 사람은 잼있음
1940,기대도 안하고 가서 봤는데 정말 잼있다 너무 신나더라
1941,보는내내 신나고 즐거웠던... 출연진이 직접 부른 노래라는 것도 너무 마음에 들어요
1942,누구나 꿈꿀수있는 마법의 하루 영화 찍으면서 배우들도 매우 즐거웠을꺼 같다
1943,노래가 너무 좋았다.. 그리고 소피 너무 사랑스러운 캐릭터 ~~
1944,역시 인생은 나이가 들어도 노래와 춤을 함께할 수 있어야 ! 흥분과 감동!!!.
1945,노래짱!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1
1946,역시 노래 짱
1947,"재미있어요! 신나고, 즐겁고 유쾌하게 즐길 수 있는 영화같아요"
1948,진짜재밌었어요~^-^ㅋ아니지..재밋다기보단노래와어울리는장면들에압도당했다..??
1949,오랜만에 아바노래들어서 좋습니다 ㅎㅎ
1950,재밌어요
1951,엄청 재밌게 봤어요 ^^
1952,오랜만에 와이프와 중학생 초등학생 아이들을 데리고 영화를 봤는데 좀 신선했다
1953,"완전 재밌어요. 스토리도 탄탄하고, 연기면 연기~ 노래면 노래~ 짱이랍니다."
1954,이 영화가 왜 좋다는건데?..결국 개족보이야기..
1955,극장 스피커로 아바 음악 감상은 그리스 해변보다 환상적이었음! 스웨덴이 달라보인다
1956,신난다.. 재미난다.. ㅋㅋ 영화보단 뮤지컬로 보고싶을정도로.. 정말 잘 만든 영화
1957,초반보고 잤다. 노래나오면 깼다. ㅋ
1958,평점좀 깎아먹자! 대강 이영화 평점 6점대를 예상했다만 왤캐높아
1959,보는 내내 웃음을 안겨준 영화^3^* 노래들이 너무너무 좋았어요>.< 스토리도~~
1960,영화볼줄모른다고할지도 모르겠지만 진짜..삼류영화같았다.
1961,노래 완전 좋아요 ~ 재밌기도 하구 ~
1962,"노래도 너무 좋고, 배경도 너무 아름답고 내용도 좋구"
1963,전 학교에서 봤는데 노래 너무 좋고 재밌었어요ㅎ
1964,노래가 정말 좋았어요 ㅋㅋ근데 노래빼면 그냥저냥 좋은 영화일듯... 그래서 9점ㅋㅋ
1965,우왕굳♡..♡완죤 짱~
1966,맘마미아 정~~~~말 재미있고 감동적이었어요~맘마미아출연진들 홧팅!
1967,메릴스트립 포스 쨩~
1968,지나간시절을 다시한번 돌아볼수있었고  마음속열정을 다시금 일깨워준영화
1969,빌터너땜에
1970,내스타일이 아니므로 7점... 재밌게본사람들은 다 여자일까??
1971,재미있어요
1972,맘마미아쵝오!ㅋ
1973,최고!!
1974,역시 맘마미에요
1975,ㅡㅡ이게어떻게 평점이 8점이나나와 진짜 재미도없고 감동도없고 졸리는데 ㅡㅡ
1976,악.프 아줌마가 그렇게 노래 잘하는지 몰랐음 진짜 부른건 맞나 ????
1977,"메륄 아줌마 많이 늙었더라,,,"
1978,아만다 사이프리드의 재발견!! 그녀를 대체할 연기자가 없어보였다!
1979,십점만점에십점
1980,아무이유없어 10점 ㅋㅋㅋ
1981,짱이에요 노래도정말좋구요 배경도너무이쁘구요 강추!!!!!!!!1
1982,완전지대짱 완전코믹하다 완전강추 꼭인생에서한번봐야될진정한영화
1983,마음이 따뜻해지는 영화 good凸
1984,굿!!! 소장가치 있음.
1985,정말 재미있어요. 노래도 좋고 영화보게되면 자꾸 노래가 머릿속에 생각나요ㅎㅎ
1986,정말 여태까지 봤던 영화중에서 기쁘고 감동적 이였던영화 정말 안보면 아까운 영화 !
1987,몇번을봐도 재미있어요!!영화보구나서 노래를 흥얼거리게 만드는..^^
1988,"주옥같은 ABBA의 선율임에도, 완벽한 미스캐스팅, 엉성한 연출과 겉도는 촬영..."
1989,노래가 괜찮음 ㅎㅎ한번 보시길 전 오늘 보고 왔음*^^*
1990,울엄니가 최고라고 하셨음..
1991,재미있다
1992,재밌었고 무엇보다 노래강추
1993,노래완전 좋고 배경 아름다움 완전 쵝오
1994,이거 도대체 뭐가 재밌다는거지..
1995,잘만든 영화는 아니지만 노래 덕분에 한점 더
1996,정말 명곡들이 많네요 ㅋㅋㅋ
1997,진짜 대박영화~~!
1998,음악완전  짱!!!
1999,음악이 완전 최고 에요~
