키워드,언론사,기사명,날짜,URL
뉴시스,"울산시, 비전속 체육강사에 재난지원금 50만원 지급",2021-09-24,http://www.newsis.com/view/?id=NISX20210923_0001591451&cID=10814&pID=10800,재난 지원금
전북도민일보,전라북도 긴급 재난지원금 사용기간 30일 마감,2021-09-30,http://www.domin.co.kr/news/articleView.html?idxno=1355619,재난 지원금
시사매거진,'100% 지급' 3차 경기도 재난지원금 신청시작...신청방법·사용처·외국인 기...,15분 전,http://www.sisamagazine.co.kr/news/articleView.html?idxno=404848,재난 지원금
전북도민일보,전라북도 긴급 재난지원금 사용기간 30일 마감,2021-09-30,http://www.domin.co.kr/news/articleView.html?idxno=1355619,재난 지원금
시사매거진,'100% 지급' 3차 경기도 재난지원금 신청시작...신청방법·사용처·외국인 기...,15분 전,http://www.sisamagazine.co.kr/news/articleView.html?idxno=404848,재난 지원금
시사매거진,[종합] 3차 경기도 재난지원금 신청일은? '대상자·지급시기·사용처 총정리...,2021-09-30,http://www.sisamagazine.co.kr/news/articleView.html?idxno=404542,재난 지원금
제주교통복지신문,"포항시, 특별재난지역 재해복구 재정지원금 받아 복구에 힘보탠다",2021-09-30,http://www.jejutwn.com/news/article.html?no=94366,재난 지원금
더팩트,"충남도 ""재난지원금 못 받은 26만여명도 지급""",2021-09-28,http://news.tf.co.kr/read/national/1890039.htm,재난 지원금
글로벌E,'신용카드 캐시백?' 내일부터 상생소비지원금 신청,2021-09-30,http://www.globale.co.kr/news/articleView.html?idxno=15807,재난 지원금
시민일보,"고양시, 정부 재난지원금 못 받은 시민도 25만원씩 지급",2021-09-30,https://www.siminilbo.co.kr/news/newsview.php?ncode=1065584983897905,재난 지원금
뉴시스,"거리로 나온 공항노동자…""고용유지지원금 연장해야""",2021-09-30,http://www.newsis.com/view/?id=NISX20210929_0001596845&cID=10201&pID=10200,재난 지원금
경인일보,전도민재난금 + 카드 캐시백… 골목상권 활력 찾을까,2021-09-30,http://www.kyeongin.com/main/view.php?key=20210930010005125,재난 지원금
동아일보,"“갤워치 판매, 재난금 노렸다”는 국회… 일단 CEO 부르고 보는 국감",A8면 TOP,https://www.donga.com/news/article/all/20210929/109462574/1,재난 지원금
YTN,"권익위, ""본인명의 휴대전화 없으면 지원금 신청 어려워... 개선해야""",2021-09-30,https://www.ytn.co.kr/_ln/0101_202109291014231443,재난 지원금
시사매거진,"정부 상생 국민지원금 대상에서 제외된 경기도민, 3차 재난기본소득 신청 시작",2021-09-30,http://www.sisamagazine.co.kr/news/articleView.html?idxno=404380,재난 지원금
뉴스핌,"계룡시의회, 재난지원금 원포인트 임시회 개회",2021-09-30,http://www.newspim.com/news/view/20210929000713,재난 지원금
뉴시스,단양군 이어 제천시도 전시민 재난지원금 지급,2021-09-28,http://www.newsis.com/view/?id=NISX20210927_0001594583&cID=10806&pID=10800,재난 지원금
FETV,"당근마켓, ‘국민지원금’ 테마관 오픈...""지역경제 활성화 지원""",2021-09-30,https://www.fetv.co.kr/news/article.html?no=97252,재난 지원금
뉴스핌,원주시 2차 긴급재난지원금 29일부터 온라인 접수,2021-09-30,http://www.newspim.com/news/view/20210929000610,재난 지원금
프레시안,"[고양소식] 고양시, 정부 상생지원금 제외 시민 25만원씩 지급 등  ",2021-09-30,https://www.pressian.com/pages/articles/2021092915485177800?utm_source=naver&utm_medium=search,재난 지원금
데일리한국,"새마을금고 체크카드, 10월 1일부터 상생소비지원금 신청 가능",2021-09-30,https://daily.hankooki.com/lpage/finance/202109/dh20210929175057148310.htm?s_ref=nv,재난 지원금
뉴스프리존,"[국감]한병도 의원, 경기도 상반기 자체 재난지원금 1위…충남 4위",2021-09-30,http://www.newsfreezone.co.kr/news/articleView.html?idxno=338262,재난 지원금
프레시안,전라북도 재난지원금 사용기한 임박...30일까지 미사용금액 환수,2021-09-29,https://www.pressian.com/pages/articles/2021092811403483894?utm_source=naver&utm_medium=search,재난 지원금
NSP통신,"경기도, 10월 1일부터 3차 재난기본소득 온라인 신청",2021-09-30,http://www.nspna.com/news/?mode=view&newsid=528770,재난 지원금
프레시안,전라북도 재난지원금 사용기한 임박...30일까지 미사용금액 환수,2021-09-29,https://www.pressian.com/pages/articles/2021092811403483894?utm_source=naver&utm_medium=search,재난 지원금
스카이데일리,국민권익위 “정보 소외계층 재난지원금 접근성 확대 필요”,2021-09-30,http://www.skyedaily.com/news/news_view.html?ID=141803,재난 지원금
중부일보,"[노트북] 한병도 ""경기도, 상반기 자체 재난지원금 1.4조…14개 시·도 합보다...",2021-09-30,http://www.joongboo.com/news/articleView.html?idxno=363505450,재난 지원금
뉴스1,세종시도 재난지원금 100% 지급 '만지작',2021-09-29,https://www.news1.kr/articles/?4445627,재난 지원금
헤럴드경제,광역단체 재난지원금...경기도 〉 전국 14개 시·도,8면 1단,http://news.heraldcorp.com/view.php?ud=20210929000586,재난 지원금
한겨레,"군위, 모든 군민에 ‘생활안정지원금’ 지급…5차 정부 지원금과는 별도",2021-09-29,https://www.hani.co.kr/arti/area/yeongnam/1013042.html,재난 지원금
경북매일신문,"""경북교육청은 교육재난지원금 차별 없이 지급하라""",2021-09-30,http://www.kbmaeil.com/news/articleView.html?idxno=910392,재난 지원금
제주교통복지신문,"경기도, 상반기 자체 재난지원금 1.4조…나머지 14개 시·도 합보다 많아",2021-09-30,http://www.jejutwn.com/news/article.html?no=93743,재난 지원금
